,Food,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category,Calorie per gram,protein fat ratio
517,"Milk shake, bottled, chocolate",100,156.18,3.7,6.66,4.044,1.6,20.36,Milk shake,1.5618,0.5555555555555556
518,"Milk shake, bottled, flavors other than chocolate",100,150.51999999999998,3.37,6.52,3.962,0.9,19.59,Milk shake,1.5051999999999999,0.5168711656441718
519,Licuado or Batido,100,74.41999999999999,2.4,1.38,0.758,0.7,13.1,Licuado or Batido,0.7441999999999999,1.7391304347826089
520,"Fruit smoothie, NFS",100,65.83,2.4,1.07,0.57,1.2,11.65,Fruit smoothie,0.6583,2.2429906542056073
521,"Fruit smoothie, with whole fruit and dairy",100,65.87,2.4,1.07,0.57,1.2,11.66,Fruit smoothie,0.6587000000000001,2.2429906542056073
522,"Fruit smoothie, with whole fruit and dairy, added protein",100,79.25,7.38,1.21,0.649,1.1,9.71,Fruit smoothie,0.7925,6.099173553719008
523,"Fruit smoothie juice drink, with dairy",100,64.9,0.86,0.14,0.0,0.9,15.05,Fruit smoothie juice drink,0.649,6.142857142857142
524,Chocolate milk drink,100,48.879999999999995,0.64,0.4,0.31,0.6,10.68,Chocolate milk drink,0.48879999999999996,1.5999999999999999
525,"Infant formula, NFS",100,66.04,1.38,3.56,1.342,0.0,7.12,Infant formula,0.6604000000000001,0.3876404494382022
526,"Infant formula, NS as to form (Similac Expert Care Alimentum)",100,66.95,1.8,3.63,1.838,0.0,6.77,Infant formula,0.6695,0.49586776859504134
527,"Infant formula, ready-to-feed (Similac Expert Care Alimentum)",100,66.95,1.8,3.63,1.838,0.0,6.77,Infant formula,0.6695,0.49586776859504134
